City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Longyearbyen,SJ,2022-09-28 20:01:43,78.2186,15.6401,35.44,93,75,1.14
186,Kahului,US,2022-09-28 20:05:37,20.8947,-156.47,87.82,58,20,20.71
187,Tripoli,LY,2022-09-28 20:05:38,32.8752,13.1875,77.22,64,0,9.28
188,Sorland,NO,2022-09-28 20:05:38,67.667,12.6934,51.66,77,73,12.24
189,Teseney,ER,2022-09-28 20:05:38,15.11,36.6575,86.13,47,24,7.49
190,Burns Lake,CA,2022-09-28 20:05:39,54.2331,-125.7533,68.61,43,98,3.02
191,Mangai,CD,2022-09-28 20:05:39,-4.05,19.5333,68.14,99,100,1.34
192,Liverpool,GB,2022-09-28 20:05:39,53.4106,-2.9779,54.82,81,75,9.22
193,Florianopolis,BR,2022-09-28 20:04:35,-27.6146,-48.5012,66.63,59,40,16.11
194,Phan Thiet,VN,2022-09-28 20:05:40,10.9333,108.1,76.86,89,100,7.81
195,Waingapu,ID,2022-09-28 20:05:40,-9.6567,120.2641,78.13,80,85,2.98
196,Cherskiy,RU,2022-09-28 20:05:40,68.75,161.3,23.65,74,62,4.16
197,Ust-Maya,RU,2022-09-28 20:05:41,60.4167,134.5333,26.31,86,96,8.59
198,Lanzhou,CN,2022-09-28 20:05:41,36.0564,103.7922,64.45,45,37,1.95
199,Inhambane,MZ,2022-09-28 20:05:42,-23.865,35.3833,72.34,68,65,9.22
200,Obo,CF,2022-09-28 20:05:42,5.3998,26.4869,68.59,96,92,2.51
201,Saint-Denis,FR,2022-09-28 20:05:44,48.9167,2.3333,53.19,83,0,5.75
202,Faanui,PF,2022-09-28 20:05:44,-16.4833,-151.75,78.35,70,11,16.31
203,Ryotsu,JP,2022-09-28 20:05:45,38.0833,138.4333,65.62,81,99,2.57
204,Saldanha,ZA,2022-09-28 20:05:45,-33.0117,17.9442,59.83,81,100,19.35
205,Outlook,CA,2022-09-28 20:05:45,51.5001,-107.0513,85.23,18,6,4.05
206,Camana,PE,2022-09-28 20:05:46,-16.6228,-72.7111,64.38,69,2,10.33
207,Bethel,US,2022-09-28 20:05:46,41.3712,-73.414,70.63,61,75,9.22
208,Prince George,CA,2022-09-28 20:05:47,53.9166,-122.753,70.09,44,100,0.31
209,Waipawa,NZ,2022-09-28 20:05:47,-41.4122,175.5153,51.93,85,100,12.39
210,Bambous Virieux,MU,2022-09-28 20:05:47,-20.3428,57.7575,69.22,67,36,16.22
211,San Pedro,PH,2022-09-28 20:05:48,14.35,121.0167,78.35,93,100,2.71
212,Kovur,IN,2022-09-28 20:05:48,14.4833,79.9833,83.26,72,88,3.65
213,Bardsir,IR,2022-09-28 20:05:49,29.9227,56.5743,63.61,16,0,4.0
214,Nang Rong,TH,2022-09-28 20:05:49,14.6377,102.7914,71.1,97,100,10.51
215,Hofn,IS,2022-09-28 20:05:50,64.2539,-15.2082,45.81,67,91,2.8
216,Ochamchira,GE,2022-09-28 20:05:50,42.7121,41.4721,66.49,72,81,3.02
217,Puerto El Triunfo,SV,2022-09-28 20:05:50,13.2833,-88.55,80.98,77,100,3.42
218,Kandrian,PG,2022-09-28 20:05:50,-6.2167,149.55,75.72,86,61,3.31
219,Porbandar,IN,2022-09-28 20:05:51,21.6422,69.6093,79.86,72,0,6.15
220,Bell Ville,AR,2022-09-28 20:05:51,-32.6259,-62.6887,73.8,25,100,7.99
221,Svetlogorsk,BY,2022-09-28 20:05:51,52.6333,29.7333,47.89,94,36,12.44
222,Canberra,AU,2022-09-28 20:03:48,-35.2835,149.1281,51.39,89,97,5.75
223,Kilcoole,IE,2022-09-28 20:05:52,53.1028,-6.065,52.9,86,24,15.93
224,Marsh Harbour,BS,2022-09-28 20:05:41,26.5412,-77.0636,82.85,81,99,21.23
225,Rumoi,JP,2022-09-28 20:05:52,43.9344,141.6428,57.47,90,15,5.93
226,Sao Joao Da Barra,BR,2022-09-28 20:05:53,-21.6403,-41.0511,75.29,87,100,13.44
227,Sioux Lookout,CA,2022-09-28 20:05:53,50.1001,-91.917,56.95,30,99,9.6
228,Lagoa,PT,2022-09-28 20:06:54,39.05,-27.9833,68.83,70,100,14.36
229,Sauk Rapids,US,2022-09-28 20:06:54,45.5919,-94.1661,62.58,42,0,6.91
230,Trincomalee,LK,2022-09-28 20:06:14,8.5711,81.2335,80.19,78,44,20.31
231,Jega,NG,2022-09-28 20:06:54,12.2175,4.3792,78.48,66,50,5.17
232,San Cristobal,VE,2022-09-28 20:06:55,7.7669,-72.225,82.58,45,88,2.26
233,Vzmorye,RU,2022-09-28 20:06:55,54.6961,20.2361,46.0,89,42,7.07
234,Kingsville,US,2022-09-28 20:06:55,27.5159,-97.8561,89.55,43,20,14.97
235,Berlevag,NO,2022-09-28 20:06:56,70.8578,29.0864,48.15,71,75,8.05
236,Ancud,CL,2022-09-28 20:06:56,-41.8697,-73.8203,55.78,67,0,5.28
237,Ostrovnoy,RU,2022-09-28 20:06:56,68.0531,39.5131,37.81,87,85,9.04
238,Lunenburg,CA,2022-09-28 20:06:57,44.3835,-64.3155,69.49,71,100,10.8
239,Ocamonte,CO,2022-09-28 20:06:57,6.3401,-73.1223,72.1,82,99,2.66
240,Smithers,CA,2022-09-28 20:06:57,54.7804,-127.1743,67.24,53,100,1.88
241,Taitung,TW,2022-09-28 20:06:47,22.7583,121.1444,78.8,81,5,3.74
242,Bonthe,SL,2022-09-28 20:06:58,7.5264,-12.505,76.84,89,100,5.66
243,Sept-Iles,CA,2022-09-28 20:06:58,50.2001,-66.3821,56.05,94,75,6.91
244,Broome,US,2022-09-28 20:06:59,42.2506,-75.833,60.69,78,100,9.22
245,Sur,OM,2022-09-28 20:06:59,22.5667,59.5289,80.49,76,1,14.18
246,Vanimo,PG,2022-09-28 20:06:59,-2.6741,141.3028,75.7,88,94,5.19
247,Khatanga,RU,2022-09-28 20:07:00,71.9667,102.5,25.07,95,100,12.06
248,Mandsaur,IN,2022-09-28 20:07:00,24.0667,75.0667,75.16,75,48,4.61
249,Ivanava,BY,2022-09-28 20:07:00,52.1451,25.5365,46.09,85,5,7.11
250,Gra Liyia,GR,2022-09-28 20:07:01,35.0167,25.6833,77.13,81,13,1.01
251,Kavieng,PG,2022-09-28 20:07:01,-2.5744,150.7967,82.04,69,98,13.62
252,Lompoc,US,2022-09-28 20:03:40,34.6391,-120.4579,93.02,65,2,5.01
253,Kirkuk,IQ,2022-09-28 20:07:02,35.4681,44.3922,80.44,14,0,7.07
254,Mendi,PG,2022-09-28 20:07:02,-6.1761,143.6513,50.56,96,83,4.14
255,Pangai,TO,2022-09-28 20:07:03,-19.8,-174.35,73.71,74,39,23.04
